Impedance,Resistance,Reactance,HT
14.10,-35.76,7.15E-11,0
14.67,-36.75,6.94E-11,0
14.42,-34.75,7.32E-11,0
14.32,-34.00,7.46E-11,0
14.52,-33.41,7.58E-11,0
14.87,-34.74,7.27E-11,0
14.94,-34.26,7.36E-11,0
14.92,-31.51,7.98E-11,0
15.21,-30.79,8.14E-11,0
15.76,-30.49,8.21E-11,0
15.67,-31.31,7.97E-11,0
16.12,-28.59,8.71E-11,0
16.37,-27.90,8.91E-11,0
16.69,-27.20,9.11E-11,0
16.64,-28.43,8.70E-11,0
17.46,-26.25,9.40E-11,0
17.69,-25.21,9.77E-11,0
17.94,-24.58,9.99E-11,0
17.80,-25.67,9.55E-11,0
17.86,-25.58,9.56E-11,0
18.73,-22.75,1.07E-10,0
19.00,-22.16,1.10E-10,0
19.00,-22.51,1.08E-10,0
18.99,-23.24,1.04E-10,0
19.91,-20.38,1.19E-10,0
20.13,-19.84,1.22E-10,0
20.47,-19.24,1.25E-10,0
20.78,-20.50,1.17E-10,0
21.47,-18.51,1.29E-10,0
21.86,-17.30,1.38E-10,0
22.44,-16.67,1.43E-10,0
23.04,-18.08,1.32E-10,0
23.74,-17.42,1.36E-10,0
24.49,-14.68,1.61E-10,0
25.35,-14.05,1.68E-10,0
26.30,-14.06,1.68E-10,0
27.26,-14.85,1.58E-10,0
28.71,-11.96,1.96E-10,0
29.97,-11.43,2.05E-10,0
31.46,-11.01,2.12E-10,0
33.54,-13.03,1.79E-10,0
34.59,-11.19,2.08E-10,0
36.21,-10.37,2.24E-10,0
37.85,-10.63,2.18E-10,0
39.21,-12.96,1.78E-10,0
40.61,-13.91,1.66E-10,0
43.04,-12.80,1.80E-10,0
44.39,-14.10,1.63E-10,0
46.19,-15.80,1.45E-10,0
46.37,-19.36,1.18E-10,0
47.43,-19.93,1.15E-10,0
47.49,-22.04,1.03E-10,0
47.23,-23.79,9.55E-11,0
46.06,-27.02,8.40E-11,0
45.21,-27.92,8.11E-11,0
44.31,-28.76,7.85E-11,0
42.99,-29.84,7.55E-11,0
41.21,-31.38,7.17E-11,0
39.55,-32.09,6.99E-11,0
39.00,-31.70,7.07E-11,0
37.72,-31.98,6.99E-11,0
35.19,-32.02,6.97E-11,0
34.29,-32.85,6.78E-11,0
33.98,-31.89,6.97E-11,0
32.66,-31.56,7.02E-11,0
31.53,-30.89,7.16E-11,0
29.77,-30.82,7.16E-11,0
29.36,-29.70,7.42E-11,0
29.13,-28.50,7.71E-11,0
28.51,-27.78,7.90E-11,0
27.98,-26.97,8.12E-11,0
27.40,-26.45,8.26E-11,0
27.21,-25.56,8.53E-11,0
26.71,-24.76,8.79E-11,0
26.06,-24.14,9.00E-11,0
25.12,-23.72,9.13E-11,0
25.43,-22.35,9.67E-11,0
25.09,-21.48,1.00E-10,0
24.76,-20.63,1.04E-10,0
24.51,-19.60,1.10E-10,0
24.33,-18.90,1.14E-10,0
24.33,-18.00,1.19E-10,0
24.28,-16.97,1.26E-10,0
24.54,-15.75,1.35E-10,0
24.17,-15.41,1.38E-10,0
24.41,-14.61,1.45E-10,0
24.45,-13.82,1.53E-10,0
24.45,-13.10,1.61E-10,0
24.26,-12.69,1.66E-10,0
24.87,-11.29,1.87E-10,0
25.06,-10.60,1.98E-10,0
25.27,-9.85,2.13E-10,0
26.16,-8.45,2.48E-10,0
25.94,-8.25,2.53E-10,0
26.07,-7.52,2.77E-10,0
26.39,-6.77,3.08E-10,0
26.89,-5.76,3.61E-10,0
26.90,-5.37,3.87E-10,0
27.42,-4.47,4.63E-10,0
27.69,-3.79,5.46E-10,0
28.02,-2.91,7.09E-10,0
28.69,-1.92,1.07E-09,0
28.77,-1.46,1.41E-09,0
29.15,-0.70,2.92E-09,0
29.46,0.05,9.87E-11,0
30.44,1.25,2.55E-09,0
30.30,1.37,2.80E-09,0
30.48,2.16,4.39E-09,0
30.66,2.57,5.23E-09,0
32.24,4.17,8.45E-09,0
31.86,3.92,7.94E-09,0
31.67,4.55,9.19E-09,0
31.98,5.15,1.04E-08,0
32.28,5.89,1.19E-08,0
32.77,6.18,1.24E-08,0
33.03,7.32,1.47E-08,0
33.44,8.07,1.61E-08,0
34.06,8.63,1.72E-08,0
36.28,10.13,2.02E-08,0
35.95,10.40,2.07E-08,0
35.82,10.95,2.17E-08,0
36.35,11.80,2.34E-08,0
37.49,11.95,2.36E-08,0
38.31,12.68,2.50E-08,0
38.75,14.23,2.81E-08,0
39.43,15.20,2.99E-08,0
40.42,15.98,3.14E-08,0
43.20,17.37,3.41E-08,0
42.53,17.79,3.48E-08,0
43.56,18.52,3.62E-08,0
44.50,19.28,3.76E-08,0
46.49,19.44,3.78E-08,0
47.28,19.66,3.82E-08,0
47.76,20.91,4.05E-08,0
49.07,21.07,4.08E-08,0
53.43,22.19,4.29E-08,0
52.69,21.30,4.11E-08,0
52.64,21.96,4.23E-08,0
53.74,21.93,4.21E-08,0
54.59,21.95,4.21E-08,0
57.12,21.42,4.10E-08,0
56.79,21.62,4.13E-08,0
57.70,21.30,4.06E-08,0
58.43,21.24,4.05E-08,0
61.58,20.96,3.98E-08,0
61.53,20.19,3.83E-08,0
60.84,20.11,3.81E-08,0
61.08,20.01,3.78E-08,0
62.62,19.28,3.64E-08,0
62.90,18.85,3.55E-08,0
62.43,19.35,3.64E-08,0
62.85,19.11,3.59E-08,0
63.11,19.22,3.60E-08,0
66.12,19.36,3.62E-08,0
63.86,19.46,3.63E-08,0
64.07,19.74,3.68E-08,0
64.27,20.21,3.76E-08,0
67.51,20.56,3.82E-08,0
66.65,20.65,3.83E-08,0
65.77,21.59,4.00E-08,0
66.12,22.14,4.09E-08,0
69.78,22.78,4.20E-08,0
68.80,22.88,4.21E-08,0
67.65,23.87,4.39E-08,0
68.21,24.10,4.42E-08,0
68.59,24.79,4.54E-08,0
69.23,23.92,4.38E-08,0
68.84,25.25,4.61E-08,0
69.36,25.65,4.68E-08,0
69.60,26.36,4.80E-08,0
73.95,26.98,4.90E-08,0
73.33,27.32,4.96E-08,0
71.34,28.42,5.15E-08,0
72.07,29.03,5.25E-08,0
76.20,30.20,5.45E-08,0
76.76,30.65,5.52E-08,0
74.52,31.86,5.73E-08,0
75.43,32.72,5.87E-08,0
76.58,33.21,5.95E-08,0
78.23,32.87,5.88E-08,0
78.39,34.89,6.23E-08,0
79.55,35.92,6.41E-08,0
80.81,36.79,6.55E-08,0
82.26,36.28,6.45E-08,0
83.04,37.53,6.66E-08,0
84.65,40.02,7.09E-08,0
86.27,41.74,7.38E-08,0
88.40,41.81,7.38E-08,0
89.30,43.15,7.61E-08,0
89.77,46.02,8.10E-08,0
91.94,47.43,8.33E-08,0
93.76,49.09,8.61E-08,0
100.94,49.60,8.69E-08,0
98.53,52.50,9.18E-08,0
101.11,54.06,9.44E-08,0
103.78,55.81,9.73E-08,0
109.16,56.94,9.91E-08,0
112.55,57.75,1.00E-07,0
114.19,59.82,1.04E-07,0
117.07,61.48,1.06E-07,0
123.09,59.99,1.04E-07,0
127.66,59.66,1.03E-07,0
131.14,61.11,1.05E-07,0
136.24,59.15,1.02E-07,0
140.23,57.74,9.92E-08,0
149.71,52.33,8.97E-08,0
148.77,52.67,9.02E-08,0
152.17,50.36,8.61E-08,0
155.46,48.22,8.23E-08,0
164.58,41.08,7.00E-08,0
165.95,40.33,6.86E-08,0
167.15,39.33,6.68E-08,0
170.37,35.85,6.08E-08,0
178.44,28.20,4.77E-08,0
181.47,21.24,3.59E-08,0
179.56,24.11,4.07E-08,0
180.75,21.49,3.62E-08,0
183.14,14.64,2.46E-08,0
187.53,3.03,5.09E-09,0
